"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"77195","Аптека Гален 5 - бул. Съединение 49","АЛЕРГОЗАН КРЕМ 18ГР СОФАРМА","1853","91","3.55","3.2"
"77195","Аптека Гален 5 - бул. Съединение 49","ЕФИЗОЛ 250МГ Х 20 ТЕВА","2253","98","2.49","2.24"
"77195","Аптека Гален 5 - бул. Съединение 49","ОТИПАКС СОЛ 15МЛ БИОКОДЕКС","2626","101","3.25","3.25"
"77195","Аптека Гален 5 - бул. Съединение 49","СОЛВОЛАН 30МГ Х 20 КРКА","2823","99","2.49","2.49"
"77195","Аптека Гален 5 - бул. Съединение 49","ФРИЗОЛАК 2 (6-12 МЕСЕЦА) 400ГР","3352","65","9.05","9.05"
"77195","Аптека Гален 5 - бул. Съединение 49","ЕСПУМИЗАН 40МГ Х 25 БЕРЛИН ХИМИ","3478","87","2.05","2.05"
"77195","Аптека Гален 5 - бул. Съединение 49","КСИЛОМЕТАЗОЛИН 0.1% 10МЛ ПОЛФА","5254","97","1.95","1.95"
"77195","Аптека Гален 5 - бул. Съединение 49","АСТЕРА ПАСТА ЗА ЗЪБИ КИДС ЯГОДА 0+Г 50МЛ","8547","81","1.09","1.09"
"77195","Аптека Гален 5 - бул. Съединение 49","ЧАЙ ЛАЙКА ФИЛТЪР Х 20 БП","13818","72","0.79","0.79"
"77195","Аптека Гален 5 - бул. Съединение 49","ХИП 4070 БИО ПЮРЕ РАЗЛИЧНИ ЗЕЛЕНЧУЦИ 4М+ 190ГР","15746","64","1.89","1.8900000000000001"
"77195","Аптека Гален 5 - бул. Съединение 49","СПИРТ ЕТИЛОВ 70% 100МЛ ХИМАКС","21632","92","0.55","0.55"
"77195","Аптека Гален 5 - бул. Съединение 49","СПИРТ САЛИЦИЛОВ 1% 100МЛ ХИМАКС","21635","90","0.79","0.79"
"77195","Аптека Гален 5 - бул. Съединение 49","СПИРТ КАМФОРОВ 100МЛ ХИМАКС","21677","95","1.09","1.09"
"77195","Аптека Гален 5 - бул. Съединение 49","РИЦИНОВО МАСЛО 40МЛ ХИМАКС","21974","88","0.85","0.85"
"77195","Аптека Гален 5 - бул. Съединение 49","ФАМОТИДИН 20МГ X 20 АЛКАЛОИД","30951","86","0.79","0.79"
"77195","Аптека Гален 5 - бул. Съединение 49","ГАНЧЕВ МЛЕЧНА КАША БАНАНИ И БИСКВИТИ 4М+ 190ГР","32990","63","0.99","0.99"
"77195","Аптека Гален 5 - бул. Съединение 49","СТОПЕРАН 2МГ Х 8 USP","35304","89","2.79","2.79"
"77195","Аптека Гален 5 - бул. Съединение 49","АСТЕРА ЧЕТКА ЗА ЗЪБИ АКТИВ 3 МЕДИУМ","36974","80","0.79","0.79"
"77195","Аптека Гален 5 - бул. Съединение 49","РОЛЕТРА 10МГ Х 10 ЕКОФАРМ","40109","100","2.79","2.79"
"77195","Аптека Гален 5 - бул. Съединение 49","ПАРАЦЕТАМОЛ 500МГ Х 20 ЕКОФАРМ","57415","96","0.89","0.8"
"77195","Аптека Гален 5 - бул. Съединение 49","ДОЛОРЕН 400МГ Х 12 ЕКОФАРМА","60169","94","2.49","1.74"
